Dre-Mir-124-P4-v2,Gnathostomata
Dre-Mir-193-P1b1,Clupeocephala
Dre-Mir-34-P1,Gnathostomata
Dre-Mir-375-P1,Clupeocephala
Dre-Mir-96-P1a,Clupeocephala
Dre-Mir-124-P1b-v2,Clupeocephala
Dre-Mir-8-P1b,Vertebrata
Dre-Mir-137-P1a-v2,Clupeocephala
Dre-Mir-9-P2b,Clupeocephala
Dre-Let-7-P2a2a,Clupeocephala
Dre-Let-7-P2b2b,Clupeocephala
Dre-Mir-1-P2b,Clupeocephala
Dre-Mir-133-P2b-v2,Clupeocephala
Dre-Mir-184-P2,Clupeocephala
Dre-Mir-193-P1b2,Clupeocephala
Dre-Mir-34-P2a,Gnathostomata
Dre-Mir-375-P2,Clupeocephala
Dre-Mir-96-P2a,Clupeocephala
Dre-Mir-124-P2a-v1,Clupeocephala
Dre-Mir-8-P2a,Vertebrata
Dre-Mir-137-P1b-v1,Clupeocephala
Dre-Mir-9-P3a,Clupeocephala
Dre-Let-7-P1b1,Clupeocephala
Dre-Let-7-P2a2b,Clupeocephala
Dre-Mir-153-P1a,Clupeocephala
Dre-Let-7-P2b3a,Clupeocephala
Dre-Mir-1-P3,Gnathostomata
Dre-Mir-133-P3-v1,Gnathostomata
Dre-Mir-193-P2a,Vertebrata
Dre-Mir-34-P2b,Gnathostomata
Dre-Mir-96-P3a-v1,Clupeocephala
Dre-Mir-124-P2a-v2,Clupeocephala
Dre-Mir-210,Bilateria
Dre-Mir-29-P1b1,Clupeocephala
Dre-Mir-190-P1b,Clupeocephala
Dre-Mir-8-P2b,Vertebrata
Dre-Mir-137-P1b-v2,Clupeocephala
Dre-Mir-9-P4a,Clupeocephala
Dre-Let-7-P1b2,Clupeocephala
Dre-Let-7-P2a3a,Clupeocephala
Dre-Mir-153-P2a,Clupeocephala
Dre-Let-7-P2b4a,Clupeocephala
Dre-Mir-7-P1a,Clupeocephala
Dre-Mir-133-P3-v2,Gnathostomata
Dre-Mir-193-P2b1,Clupeocephala
Dre-Mir-92-P1a1,Clupeocephala
Dre-Mir-96-P3a-v2,Clupeocephala
Dre-Mir-124-P3a-v1,Clupeocephala
Dre-Mir-29-P1d1,Clupeocephala
Dre-Mir-190-P3,Gnathostomata
Dre-Mir-8-P3a,Vertebrata
Dre-Mir-9-P4b,Clupeocephala
Dre-Let-7-P1c1,Clupeocephala
Dre-Let-7-P2a3b,Clupeocephala
Dre-Mir-153-P2b,Clupeocephala
Dre-Let-7-P2b4b,Clupeocephala
Dre-Mir-133-P1-v1,Gnathostomata
Dre-Mir-7-P1b,Clupeocephala
Dre-Mir-29-P1d2,Clupeocephala
Dre-Mir-193-P2b2,Clupeocephala
Dre-Mir-92-P1a2,Clupeocephala
Dre-Mir-22-P1a,Vertebrata
Dre-Mir-124-P3a-v2,Clupeocephala
Dre-Mir-8-P3b,Vertebrata
Dre-Let-7-P1c2,Clupeocephala
Dre-Let-7-P2a4a,Clupeocephala
Dre-Let-7-P2c2b,Clupeocephala
Dre-Mir-133-P1-v2,Gnathostomata
Dre-Mir-7-P2b,Clupeocephala
Dre-Mir-216-P2a,Vertebrata
Dre-Mir-29-P2b1,Clupeocephala
Dre-Mir-219-P2a,Clupeocephala
Dre-Mir-92-P1d,Gnathostomata
Dre-Mir-22-P1b1,Clupeocephala
Dre-Mir-124-P1a-v1,Clupeocephala
Dre-Mir-124-P3b-v1,Clupeocephala
Dre-Mir-9-P1a,Clupeocephala
Dre-Let-7-P1d1,Clupeocephala
Dre-Let-7-P2a4b,Clupeocephala
Dre-Let-7-P2c3,Gnathostomata
Dre-Mir-133-P2a-v1,Clupeocephala
Dre-Mir-7-P3,Gnathostomata
Dre-Mir-124-P3b-v2,Clupeocephala
Dre-Mir-216-P2b,Vertebrata
Dre-Mir-29-P2d2,Clupeocephala
Dre-Mir-219-P2b,Clupeocephala
Dre-Mir-31,Bilateria
Dre-Mir-92-P2c,Gnathostomata
Dre-Mir-22-P1b2,Clupeocephala
Dre-Mir-124-P1a-v2,Clupeocephala
Dre-Mir-10-P1b2-v1,Clupeocephala
Dre-Mir-10-P2c1,Clupeocephala
Dre-Mir-10-P3d1,Clupeocephala
Dre-Mir-10-P1b2-v2,Clupeocephala
Dre-Mir-10-P2c2,Clupeocephala
Dre-Mir-10-P3d2,Clupeocephala
Dre-Mir-10-P1c1-v1,Clupeocephala
Dre-Mir-10-P2d1,Clupeocephala
Dre-Mir-10-P1c1-v2,Clupeocephala
Dre-Mir-10-P2d2,Clupeocephala
Dre-Mir-10-P1c2-v1,Clupeocephala
Dre-Mir-10-P3b1,Clupeocephala
Dre-Mir-10-P1c2-v2,Clupeocephala
Dre-Mir-10-P3b2,Clupeocephala
Dre-Mir-10-P1b1-v1,Clupeocephala
Dre-Mir-10-P1d1-v1,Clupeocephala
Dre-Mir-10-P3c1,Clupeocephala
Dre-Mir-10-P1b1-v2,Clupeocephala
Dre-Mir-10-P1d1-v2,Clupeocephala
Dre-Mir-10-P3c2,Clupeocephala
